price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
11100000,1,3,3,1,30,5,4,5,1960,3,2,2
22900000,1,1,10,1,42,9,15,16,2019,4,3,2
13900000,1,1,2,1,40,8,8,17,2000,5,3,2
10500000,5,7,15,1,40,10,1,16,1993,5,5,2
14290000,1,1,12,1,37,13,14,28,2021,2,1,1
22000000,1,3,2,1,40,12,16,17,2016,4,3,2
10400000,1,3,5,1,30,9,3,5,1997,4,1,2
16850000,1,1,9,1,37,9,3,23,2018,2,1,1
10800000,1,3,10,1,35,9,1,12,1972,3,1,2
15000000,1,1,4,1,40,9,2,7,1939,5,1,2
7950000,4,5,15,1,23,9,2,4,1997,2,1,1
15700000,1,1,15,1,45,11,8,20,2022,1,1,1
14700000,1,1,10,1,35,9,8,27,2022,1,1,1
11500000,1,3,7,1,34,9,14,16,1986,3,1,2
15500000,1,1,4,1,42,9,5,7,1939,5,1,2
14500000,1,11,19,1,32,9,13,28,2021,4,1,1
14200000,1,6,23,1,32,9,12,28,1997,1,3,1
13950000,1,1,7,1,35,10,7,16,1979,5,2,2
8970000,5,12,16,1,35,10,1,12,1965,3,5,2
3900000,4,1,16,1,11,1,1,4,1997,5,1,1
13500000,1,3,6,1,35,9,4,9,1975,2,1,1
12500000,1,3,6,1,35,9,7,9,1975,2,1,1
14000000,1,3,1,1,38,8,4,17,1988,5,4,2
7500000,1,3,7,1,33,9,1,5,1958,5,2,2
8770000,9,14,1,1,41,9,3,4,1997,4,1,1
7700000,10,15,7,1,29,5,22,25,2017,4,3,1
10950000,11,16,18,1,37,11,24,25,2015,5,4,2
4800000,12,16,30,2,47,9,10,10,2013,3,3,2
7000000,13,15,8,2,22,9,15,29,2019,5,1,1
7700000,10,15,7,1,29,5,16,25,2017,4,3,1
13350000,10,16,10,1,47,10,20,25,2007,3,3,2
10000000,14,17,10,2,42,5,29,44,2014,4,3,2
15950000,1,11,16,1,31,9,8,28,1997,4,1,1
9999999,11,17,15,1,41,9,15,25,2014,5,3,2
9790000,10,18,6,2,40,11,7,24,2022,3,3,1
10500000,11,19,15,1,41,9,10,17,2012,4,3,2
11800000,11,17,20,1,41,12,19,21,2021,5,2,1
7700000,10,15,7,1,29,5,22,25,2017,4,3,1
9000000,10,15,15,1,38,10,2,25,2020,3,1,1
9500000,11,17,15,1,43,11,21,25,2013,2,1,1
10450000,11,17,16,1,41,11,8,19,1997,5,1,1
10800000,10,15,6,1,40,8,8,14,1992,2,1,1
9700000,11,17,16,1,41,10,16,19,1997,2,1,1
9300000,15,20,18,1,35,9,7,14,1973,3,5,2
13290000,15,16,35,1,36,9,13,16,2022,3,1,1
11500000,10,15,9,1,42,13,3,17,1998,3,4,2
12700000,11,17,15,1,39,9,16,25,2015,3,4,2
8200000,16,21,11,2,32,7,4,10,1992,3,5,2
11350000,14,16,10,2,37,12,37,44,2014,5,3,2
10400000,17,15,8,2,59,10,4,11,2008,5,3,2
11400000,11,17,17,1,40,9,23,29,2021,2,1,1
11450000,10,18,20,1,41,9,17,26,2019,2,1,1
13500000,10,18,1,1,41,9,12,14,1992,2,1,1
6950000,18,22,10,1,37,9,6,9,1973,3,2,2
9000000,10,15,9,1,30,6,6,24,1997,2,1,1
9900000,14,23,13,1,32,8,6,44,2014,3,3,2
10990000,10,15,7,1,38,10,17,22,1993,1,4,2
10500000,10,18,7,1,39,8,10,17,1993,3,4,2
10400000,10,15,3,1,38,8,3,17,1991,2,1,1
6250000,12,24,30,2,52,11,4,8,2005,2,1,1
9500000,11,19,14,1,42,8,8,16,2005,3,4,2
10800000,10,15,7,1,28,6,14,25,2013,5,4,2
10300000,11,17,14,1,52,14,17,22,2011,3,4,2
6200000,12,16,30,2,50,17,3,9,2013,3,3,2
12800000,19,25,8,2,39,10,13,17,2022,2,1,1
6000000,17,15,15,2,23,4,10,20,1997,2,1,1
9449999,17,15,13,2,48,10,7,22,2015,5,3,2
6600000,17,18,7,2,32,10,14,25,1997,1,1,1
13700000,10,16,7,1,49,11,4,25,1997,5,3,2
11800000,10,18,15,1,39,12,25,25,2019,4,3,2
8400000,20,18,10,2,40,16,2,9,2022,1,3,1
9900000,11,17,12,1,35,13,16,17,1997,4,3,2
8000000,21,21,7,2,44,17,4,32,2021,2,1,1
10300000,10,15,3,1,39,8,14,22,1994,1,4,2
8800000,10,18,16,1,33,7,18,24,2022,1,6,1
11490000,10,16,17,1,37,5,14,17,1997,5,4,2
7000000,10,15,9,1,27,7,8,24,2015,4,3,1
8900000,11,19,15,1,43,12,4,25,1997,1,3,2
6600000,17,18,7,2,33,11,15,22,1997,5,3,1
